Sep 08 20:13:33.232248 devstack-92-210 systemd[1]: Started devstack@neutron-rpc-server.service - Devstack devstack@neutron-rpc-server.service.
Sep 08 20:13:33.461668 devstack-92-210 neutron-rpc-server[269110]: /opt/stack/data/venv/lib/python3.12/site-packages/futurist/_utils.py:34: EventletDeprecationWarning:
Sep 08 20:13:33.461668 devstack-92-210 neutron-rpc-server[269110]: Eventlet is deprecated. It is currently being maintained in bugfix mode, and
Sep 08 20:13:33.461668 devstack-92-210 neutron-rpc-server[269110]: we strongly recommend against using it for new projects.
Sep 08 20:13:33.461668 devstack-92-210 neutron-rpc-server[269110]: If you are already using Eventlet, we recommend migrating to a different
Sep 08 20:13:33.461668 devstack-92-210 neutron-rpc-server[269110]: framework.  For more detail see
Sep 08 20:26:06.623677 devstack-92-210 neutron-rpc-server[270275]:   self.session.flush()
Sep 08 20:26:06.624880 devstack-92-210 neutron-rpc-server[270275]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:26:06.624880 devstack-92-210 neutron-rpc-server[270275]:   self.session.flush()
Sep 08 20:26:06.626091 devstack-92-210 neutron-rpc-server[270275]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:26:06.626091 devstack-92-210 neutron-rpc-server[270275]:   self.session.flush()
Sep 08 20:26:51.448870 devstack-92-210 neutron-rpc-server[270199]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:26:51.448870 devstack-92-210 neutron-rpc-server[270199]:   self.session.flush()
Sep 08 20:26:51.449727 devstack-92-210 neutron-rpc-server[270199]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:26:51.449727 devstack-92-210 neutron-rpc-server[270199]:   self.session.flush()
Sep 08 20:26:51.450479 devstack-92-210 neutron-rpc-server[270199]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:26:51.450479 devstack-92-210 neutron-rpc-server[270199]:   self.session.flush()
Sep 08 20:26:51.451293 devstack-92-210 neutron-rpc-server[270199]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:26:51.451293 devstack-92-210 neutron-rpc-server[270199]:   self.session.flush()
Sep 08 20:29:09.500779 devstack-92-210 neutron-rpc-server[270902]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:29:09.500779 devstack-92-210 neutron-rpc-server[270902]:   self.session.flush()
Sep 08 20:29:09.501613 devstack-92-210 neutron-rpc-server[270902]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:29:09.501613 devstack-92-210 neutron-rpc-server[270902]:   self.session.flush()
Sep 08 20:29:09.501613 devstack-92-210 neutron-rpc-server[270902]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:29:09.501613 devstack-92-210 neutron-rpc-server[270902]:   self.session.flush()
Sep 08 20:29:09.502501 devstack-92-210 neutron-rpc-server[270902]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:29:09.502501 devstack-92-210 neutron-rpc-server[270902]:   self.session.flush()
Sep 08 20:33:32.207401 devstack-92-210 neutron-rpc-server[270636]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:33:32.207401 devstack-92-210 neutron-rpc-server[270636]:   self.session.flush()
Sep 08 20:33:32.208632 devstack-92-210 neutron-rpc-server[270636]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:33:32.208632 devstack-92-210 neutron-rpc-server[270636]:   self.session.flush()
Sep 08 20:33:32.209593 devstack-92-210 neutron-rpc-server[270636]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:33:32.209593 devstack-92-210 neutron-rpc-server[270636]:   self.session.flush()
Sep 08 20:33:32.210741 devstack-92-210 neutron-rpc-server[270636]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:33:32.210741 devstack-92-210 neutron-rpc-server[270636]:   self.session.flush()
Sep 08 20:34:28.502328 devstack-92-210 neutron-rpc-server[270424]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:34:28.502328 devstack-92-210 neutron-rpc-server[270424]:   self.session.flush()
Sep 08 20:34:28.505737 devstack-92-210 neutron-rpc-server[270424]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:34:28.505737 devstack-92-210 neutron-rpc-server[270424]:   self.session.flush()
Sep 08 20:34:28.506822 devstack-92-210 neutron-rpc-server[270424]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:34:28.506822 devstack-92-210 neutron-rpc-server[270424]:   self.session.flush()
Sep 08 20:34:28.508086 devstack-92-210 neutron-rpc-server[270424]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:34:28.508086 devstack-92-210 neutron-rpc-server[270424]:   self.session.flush()
Sep 08 20:36:07.123672 devstack-92-210 neutron-rpc-server[270621]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:36:07.123672 devstack-92-210 neutron-rpc-server[270621]:   self.session.flush()
Sep 08 20:36:07.124942 devstack-92-210 neutron-rpc-server[270621]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:36:07.124942 devstack-92-210 neutron-rpc-server[270621]:   self.session.flush()
Sep 08 20:36:07.125880 devstack-92-210 neutron-rpc-server[270621]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:36:07.125880 devstack-92-210 neutron-rpc-server[270621]:   self.session.flush()
Sep 08 20:36:07.126886 devstack-92-210 neutron-rpc-server[270621]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:36:07.126886 devstack-92-210 neutron-rpc-server[270621]:   self.session.flush()
Sep 08 20:37:50.959947 devstack-92-210 neutron-rpc-server[270781]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:37:50.959947 devstack-92-210 neutron-rpc-server[270781]:   self.session.flush()
Sep 08 20:37:50.961031 devstack-92-210 neutron-rpc-server[270781]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:37:50.961031 devstack-92-210 neutron-rpc-server[270781]:   self.session.flush()
Sep 08 20:37:50.962143 devstack-92-210 neutron-rpc-server[270781]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:37:50.962143 devstack-92-210 neutron-rpc-server[270781]:   self.session.flush()
Sep 08 20:37:50.963265 devstack-92-210 neutron-rpc-server[270781]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:37:50.963265 devstack-92-210 neutron-rpc-server[270781]:   self.session.flush()
Sep 08 20:40:46.286287 devstack-92-210 neutron-rpc-server[270933]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:40:46.286287 devstack-92-210 neutron-rpc-server[270933]:   self.session.flush()
Sep 08 20:40:46.286886 devstack-92-210 neutron-rpc-server[270933]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:40:46.286886 devstack-92-210 neutron-rpc-server[270933]:   self.session.flush()
Sep 08 20:40:46.287895 devstack-92-210 neutron-rpc-server[270933]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:40:46.287895 devstack-92-210 neutron-rpc-server[270933]:   self.session.flush()
Sep 08 20:40:46.288987 devstack-92-210 neutron-rpc-server[270933]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:40:46.288987 devstack-92-210 neutron-rpc-server[270933]:   self.session.flush()
Sep 08 20:42:17.257570 devstack-92-210 neutron-rpc-server[270926]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:42:17.257570 devstack-92-210 neutron-rpc-server[270926]:   self.session.flush()
Sep 08 20:42:17.258530 devstack-92-210 neutron-rpc-server[270926]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:42:17.258530 devstack-92-210 neutron-rpc-server[270926]:   self.session.flush()
Sep 08 20:42:17.259625 devstack-92-210 neutron-rpc-server[270926]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:42:17.259625 devstack-92-210 neutron-rpc-server[270926]:   self.session.flush()
Sep 08 20:42:17.261020 devstack-92-210 neutron-rpc-server[270926]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:42:17.261020 devstack-92-210 neutron-rpc-server[270926]:   self.session.flush()
Sep 08 20:50:15.600674 devstack-92-210 neutron-rpc-server[270577]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:50:15.600674 devstack-92-210 neutron-rpc-server[270577]:   self.session.flush()
Sep 08 20:50:15.601794 devstack-92-210 neutron-rpc-server[270577]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:50:15.601794 devstack-92-210 neutron-rpc-server[270577]:   self.session.flush()
Sep 08 20:50:15.601794 devstack-92-210 neutron-rpc-server[270577]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:50:15.601794 devstack-92-210 neutron-rpc-server[270577]:   self.session.flush()
Sep 08 20:50:15.602303 devstack-92-210 neutron-rpc-server[270577]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:50:15.602303 devstack-92-210 neutron-rpc-server[270577]:   self.session.flush()
Sep 08 20:52:25.222825 devstack-92-210 neutron-rpc-server[270240]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:52:25.222825 devstack-92-210 neutron-rpc-server[270240]:   self.session.flush()
Sep 08 20:52:25.223835 devstack-92-210 neutron-rpc-server[270240]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:52:25.223835 devstack-92-210 neutron-rpc-server[270240]:   self.session.flush()
Sep 08 20:52:25.224781 devstack-92-210 neutron-rpc-server[270240]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:52:25.224781 devstack-92-210 neutron-rpc-server[270240]:   self.session.flush()
Sep 08 20:52:25.225815 devstack-92-210 neutron-rpc-server[270240]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:52:25.225815 devstack-92-210 neutron-rpc-server[270240]:   self.session.flush()
Sep 08 20:58:56.653377 devstack-92-210 neutron-rpc-server[270155]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:58:56.653377 devstack-92-210 neutron-rpc-server[270155]:   self.session.flush()
Sep 08 20:58:56.654437 devstack-92-210 neutron-rpc-server[270155]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 08 20:58:56.654437 devstack-92-210 neutron-rpc-server[270155]:   self.session.flush()
Sep 08 20:58:56.655646 devstack-92-210 neutron-rpc-server[270155]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
