Sep 17 20:36:57.349941 devstack-92-210 systemd[1]: Started devstack@neutron-rpc-server.service - Devstack devstack@neutron-rpc-server.service.
Sep 17 20:36:57.580134 devstack-92-210 neutron-rpc-server[266326]: /opt/stack/data/venv/lib/python3.12/site-packages/futurist/_utils.py:34: EventletDeprecationWarning:
Sep 17 20:36:57.580134 devstack-92-210 neutron-rpc-server[266326]: Eventlet is deprecated. It is currently being maintained in bugfix mode, and
Sep 17 20:36:57.580134 devstack-92-210 neutron-rpc-server[266326]: we strongly recommend against using it for new projects.
Sep 17 20:36:57.580134 devstack-92-210 neutron-rpc-server[266326]: If you are already using Eventlet, we recommend migrating to a different
Sep 17 20:36:57.580134 devstack-92-210 neutron-rpc-server[266326]: framework.  For more detail see
Sep 17 20:48:48.040662 devstack-92-210 neutron-rpc-server[267883]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:48:48.040662 devstack-92-210 neutron-rpc-server[267883]:   self.session.flush()
Sep 17 20:48:48.041655 devstack-92-210 neutron-rpc-server[267883]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:48:48.041655 devstack-92-210 neutron-rpc-server[267883]:   self.session.flush()
Sep 17 20:48:48.042542 devstack-92-210 neutron-rpc-server[267883]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:48:48.042542 devstack-92-210 neutron-rpc-server[267883]:   self.session.flush()
Sep 17 20:48:48.043530 devstack-92-210 neutron-rpc-server[267883]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:48:48.043530 devstack-92-210 neutron-rpc-server[267883]:   self.session.flush()
Sep 17 20:49:07.925830 devstack-92-210 neutron-rpc-server[268142]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:49:07.925830 devstack-92-210 neutron-rpc-server[268142]:   self.session.flush()
Sep 17 20:49:07.926927 devstack-92-210 neutron-rpc-server[268142]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:49:07.926927 devstack-92-210 neutron-rpc-server[268142]:   self.session.flush()
Sep 17 20:49:07.927897 devstack-92-210 neutron-rpc-server[268142]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:49:07.927897 devstack-92-210 neutron-rpc-server[268142]:   self.session.flush()
Sep 17 20:49:07.929173 devstack-92-210 neutron-rpc-server[268142]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:49:07.929173 devstack-92-210 neutron-rpc-server[268142]:   self.session.flush()
Sep 17 20:49:50.045846 devstack-92-210 neutron-rpc-server[267324]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:49:50.045846 devstack-92-210 neutron-rpc-server[267324]:   self.session.flush()
Sep 17 20:49:50.047058 devstack-92-210 neutron-rpc-server[267324]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:49:50.047058 devstack-92-210 neutron-rpc-server[267324]:   self.session.flush()
Sep 17 20:49:50.048279 devstack-92-210 neutron-rpc-server[267324]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:49:50.048279 devstack-92-210 neutron-rpc-server[267324]:   self.session.flush()
Sep 17 20:49:50.049510 devstack-92-210 neutron-rpc-server[267324]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 20:49:50.049510 devstack-92-210 neutron-rpc-server[267324]:   self.session.flush()
Sep 17 21:07:54.653475 devstack-92-210 neutron-rpc-server[267824]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:07:54.653475 devstack-92-210 neutron-rpc-server[267824]:   self.session.flush()
Sep 17 21:07:54.654682 devstack-92-210 neutron-rpc-server[267824]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:07:54.654682 devstack-92-210 neutron-rpc-server[267824]:   self.session.flush()
Sep 17 21:07:54.655391 devstack-92-210 neutron-rpc-server[267824]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:07:54.655391 devstack-92-210 neutron-rpc-server[267824]:   self.session.flush()
Sep 17 21:07:54.656598 devstack-92-210 neutron-rpc-server[267824]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:07:54.656598 devstack-92-210 neutron-rpc-server[267824]:   self.session.flush()
Sep 17 21:08:23.354606 devstack-92-210 neutron-rpc-server[267956]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:08:23.354606 devstack-92-210 neutron-rpc-server[267956]:   self.session.flush()
Sep 17 21:08:23.355730 devstack-92-210 neutron-rpc-server[267956]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:08:23.355730 devstack-92-210 neutron-rpc-server[267956]:   self.session.flush()
Sep 17 21:08:23.357063 devstack-92-210 neutron-rpc-server[267956]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:08:23.357063 devstack-92-210 neutron-rpc-server[267956]:   self.session.flush()
Sep 17 21:08:23.358334 devstack-92-210 neutron-rpc-server[267956]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:08:23.358334 devstack-92-210 neutron-rpc-server[267956]:   self.session.flush()
Sep 17 21:11:35.102875 devstack-92-210 neutron-rpc-server[267779]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:11:35.102875 devstack-92-210 neutron-rpc-server[267779]:   self.session.flush()
Sep 17 21:11:35.104142 devstack-92-210 neutron-rpc-server[267779]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:11:35.104142 devstack-92-210 neutron-rpc-server[267779]:   self.session.flush()
Sep 17 21:11:35.105392 devstack-92-210 neutron-rpc-server[267779]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:11:35.105392 devstack-92-210 neutron-rpc-server[267779]:   self.session.flush()
Sep 17 21:11:35.106487 devstack-92-210 neutron-rpc-server[267779]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:11:35.106487 devstack-92-210 neutron-rpc-server[267779]:   self.session.flush()
Sep 17 21:11:36.138327 devstack-92-210 neutron-rpc-server[267841]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:11:36.138327 devstack-92-210 neutron-rpc-server[267841]:   self.session.flush()
Sep 17 21:11:36.139165 devstack-92-210 neutron-rpc-server[267841]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:11:36.139165 devstack-92-210 neutron-rpc-server[267841]:   self.session.flush()
Sep 17 21:11:36.139895 devstack-92-210 neutron-rpc-server[267841]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:11:36.139895 devstack-92-210 neutron-rpc-server[267841]:   self.session.flush()
Sep 17 21:11:36.140539 devstack-92-210 neutron-rpc-server[267841]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:11:36.140539 devstack-92-210 neutron-rpc-server[267841]:   self.session.flush()
Sep 17 21:49:06.844696 devstack-92-210 neutron-rpc-server[267573]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:49:06.844696 devstack-92-210 neutron-rpc-server[267573]:   self.session.flush()
Sep 17 21:49:06.845997 devstack-92-210 neutron-rpc-server[267573]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:49:06.845997 devstack-92-210 neutron-rpc-server[267573]:   self.session.flush()
Sep 17 21:49:06.846973 devstack-92-210 neutron-rpc-server[267573]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:49:06.846973 devstack-92-210 neutron-rpc-server[267573]:   self.session.flush()
Sep 17 21:49:06.847995 devstack-92-210 neutron-rpc-server[267573]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:49:06.847995 devstack-92-210 neutron-rpc-server[267573]:   self.session.flush()
Sep 17 21:53:37.419210 devstack-92-210 neutron-rpc-server[267929]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:53:37.419210 devstack-92-210 neutron-rpc-server[267929]:   self.session.flush()
Sep 17 21:53:37.420486 devstack-92-210 neutron-rpc-server[267929]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:53:37.420486 devstack-92-210 neutron-rpc-server[267929]:   self.session.flush()
Sep 17 21:53:37.421530 devstack-92-210 neutron-rpc-server[267929]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:53:37.421530 devstack-92-210 neutron-rpc-server[267929]:   self.session.flush()
Sep 17 21:53:37.422790 devstack-92-210 neutron-rpc-server[267929]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 21:53:37.422790 devstack-92-210 neutron-rpc-server[267929]:   self.session.flush()
Sep 17 22:05:08.108417 devstack-92-210 neutron-rpc-server[267358]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:05:08.108417 devstack-92-210 neutron-rpc-server[267358]:   self.session.flush()
Sep 17 22:05:08.109443 devstack-92-210 neutron-rpc-server[267358]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:05:08.109443 devstack-92-210 neutron-rpc-server[267358]:   self.session.flush()
Sep 17 22:05:08.109822 devstack-92-210 neutron-rpc-server[267358]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:05:08.109822 devstack-92-210 neutron-rpc-server[267358]:   self.session.flush()
Sep 17 22:05:08.111043 devstack-92-210 neutron-rpc-server[267358]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:05:08.111043 devstack-92-210 neutron-rpc-server[267358]:   self.session.flush()
Sep 17 22:11:39.034219 devstack-92-210 neutron-rpc-server[267588]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:11:39.034219 devstack-92-210 neutron-rpc-server[267588]:   self.session.flush()
Sep 17 22:11:39.034961 devstack-92-210 neutron-rpc-server[267588]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:11:39.034961 devstack-92-210 neutron-rpc-server[267588]:   self.session.flush()
Sep 17 22:11:39.035711 devstack-92-210 neutron-rpc-server[267588]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:11:39.035711 devstack-92-210 neutron-rpc-server[267588]:   self.session.flush()
Sep 17 22:11:39.036643 devstack-92-210 neutron-rpc-server[267588]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:11:39.036643 devstack-92-210 neutron-rpc-server[267588]:   self.session.flush()
Sep 17 22:16:37.266338 devstack-92-210 neutron-rpc-server[267769]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:16:37.266338 devstack-92-210 neutron-rpc-server[267769]:   self.session.flush()
Sep 17 22:16:37.267046 devstack-92-210 neutron-rpc-server[267769]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:16:37.267046 devstack-92-210 neutron-rpc-server[267769]:   self.session.flush()
Sep 17 22:16:37.267874 devstack-92-210 neutron-rpc-server[267769]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:16:37.267874 devstack-92-210 neutron-rpc-server[267769]:   self.session.flush()
Sep 17 22:16:37.268940 devstack-92-210 neutron-rpc-server[267769]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:16:37.268940 devstack-92-210 neutron-rpc-server[267769]:   self.session.flush()
Sep 17 22:18:22.395373 devstack-92-210 neutron-rpc-server[267969]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:18:22.395373 devstack-92-210 neutron-rpc-server[267969]:   self.session.flush()
Sep 17 22:18:22.396468 devstack-92-210 neutron-rpc-server[267969]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:18:22.396468 devstack-92-210 neutron-rpc-server[267969]:   self.session.flush()
Sep 17 22:18:22.397574 devstack-92-210 neutron-rpc-server[267969]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:18:22.397574 devstack-92-210 neutron-rpc-server[267969]:   self.session.flush()
Sep 17 22:18:22.398802 devstack-92-210 neutron-rpc-server[267969]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:18:22.398802 devstack-92-210 neutron-rpc-server[267969]:   self.session.flush()
Sep 17 22:35:58.759231 devstack-92-210 neutron-rpc-server[267956]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:35:58.759231 devstack-92-210 neutron-rpc-server[267956]:   self.session.flush()
Sep 17 22:35:58.760194 devstack-92-210 neutron-rpc-server[267956]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:35:58.760194 devstack-92-210 neutron-rpc-server[267956]:   self.session.flush()
Sep 17 22:35:58.760194 devstack-92-210 neutron-rpc-server[267956]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:35:58.760194 devstack-92-210 neutron-rpc-server[267956]:   self.session.flush()
Sep 17 22:35:58.761207 devstack-92-210 neutron-rpc-server[267956]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:35:58.761207 devstack-92-210 neutron-rpc-server[267956]:   self.session.flush()
Sep 17 22:35:59.830731 devstack-92-210 neutron-rpc-server[268004]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:35:59.830731 devstack-92-210 neutron-rpc-server[268004]:   self.session.flush()
Sep 17 22:35:59.831461 devstack-92-210 neutron-rpc-server[268004]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 17 22:35:59.831461 devstack-92-210 neutron-rpc-server[268004]:   self.session.flush()
Sep 17 22:35:59.832324 devstack-92-210 neutron-rpc-server[268004]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
