Sep 15 01:24:37.751008 devstack-92-210 systemd[1]: Started devstack@neutron-rpc-server.service - Devstack devstack@neutron-rpc-server.service.
Sep 15 01:24:37.979160 devstack-92-210 neutron-rpc-server[2223953]: /opt/stack/data/venv/lib/python3.12/site-packages/futurist/_utils.py:34: EventletDeprecationWarning:
Sep 15 01:24:37.979160 devstack-92-210 neutron-rpc-server[2223953]: Eventlet is deprecated. It is currently being maintained in bugfix mode, and
Sep 15 01:24:37.979160 devstack-92-210 neutron-rpc-server[2223953]: we strongly recommend against using it for new projects.
Sep 15 01:24:37.979160 devstack-92-210 neutron-rpc-server[2223953]: If you are already using Eventlet, we recommend migrating to a different
Sep 15 01:24:37.979160 devstack-92-210 neutron-rpc-server[2223953]: framework.  For more detail see
Sep 15 01:35:09.655498 devstack-92-210 neutron-rpc-server[2225147]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:35:09.655498 devstack-92-210 neutron-rpc-server[2225147]:   self.session.flush()
Sep 15 01:35:09.656632 devstack-92-210 neutron-rpc-server[2225147]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:35:09.656632 devstack-92-210 neutron-rpc-server[2225147]:   self.session.flush()
Sep 15 01:35:41.609744 devstack-92-210 neutron-rpc-server[2225172]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:35:41.609744 devstack-92-210 neutron-rpc-server[2225172]:   self.session.flush()
Sep 15 01:35:41.610817 devstack-92-210 neutron-rpc-server[2225172]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:35:41.610817 devstack-92-210 neutron-rpc-server[2225172]:   self.session.flush()
Sep 15 01:35:41.613195 devstack-92-210 neutron-rpc-server[2225172]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:35:41.613195 devstack-92-210 neutron-rpc-server[2225172]:   self.session.flush()
Sep 15 01:35:41.614414 devstack-92-210 neutron-rpc-server[2225172]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:35:41.614414 devstack-92-210 neutron-rpc-server[2225172]:   self.session.flush()
Sep 15 01:36:33.102016 devstack-92-210 neutron-rpc-server[2225718]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:36:33.102016 devstack-92-210 neutron-rpc-server[2225718]:   self.session.flush()
Sep 15 01:36:33.102989 devstack-92-210 neutron-rpc-server[2225718]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:36:33.102989 devstack-92-210 neutron-rpc-server[2225718]:   self.session.flush()
Sep 15 01:36:33.104018 devstack-92-210 neutron-rpc-server[2225718]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:36:33.104018 devstack-92-210 neutron-rpc-server[2225718]:   self.session.flush()
Sep 15 01:36:33.104863 devstack-92-210 neutron-rpc-server[2225718]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:36:33.104863 devstack-92-210 neutron-rpc-server[2225718]:   self.session.flush()
Sep 15 01:36:39.468202 devstack-92-210 neutron-rpc-server[2225044]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:36:39.468202 devstack-92-210 neutron-rpc-server[2225044]:   self.session.flush()
Sep 15 01:36:39.469126 devstack-92-210 neutron-rpc-server[2225044]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:36:39.469126 devstack-92-210 neutron-rpc-server[2225044]:   self.session.flush()
Sep 15 01:36:39.470207 devstack-92-210 neutron-rpc-server[2225044]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:36:39.470207 devstack-92-210 neutron-rpc-server[2225044]:   self.session.flush()
Sep 15 01:36:39.471470 devstack-92-210 neutron-rpc-server[2225044]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:36:39.471470 devstack-92-210 neutron-rpc-server[2225044]:   self.session.flush()
Sep 15 01:36:43.667762 devstack-92-210 neutron-rpc-server[2225563]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:36:43.667762 devstack-92-210 neutron-rpc-server[2225563]:   self.session.flush()
Sep 15 01:36:43.668586 devstack-92-210 neutron-rpc-server[2225563]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:36:43.668586 devstack-92-210 neutron-rpc-server[2225563]:   self.session.flush()
Sep 15 01:36:43.669447 devstack-92-210 neutron-rpc-server[2225563]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:36:43.669447 devstack-92-210 neutron-rpc-server[2225563]:   self.session.flush()
Sep 15 01:36:43.670472 devstack-92-210 neutron-rpc-server[2225563]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:36:43.670472 devstack-92-210 neutron-rpc-server[2225563]:   self.session.flush()
Sep 15 01:38:41.098182 devstack-92-210 neutron-rpc-server[2225678]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:38:41.098182 devstack-92-210 neutron-rpc-server[2225678]:   self.session.flush()
Sep 15 01:38:41.098810 devstack-92-210 neutron-rpc-server[2225678]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:38:41.098810 devstack-92-210 neutron-rpc-server[2225678]:   self.session.flush()
Sep 15 01:38:41.099870 devstack-92-210 neutron-rpc-server[2225678]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:38:41.099870 devstack-92-210 neutron-rpc-server[2225678]:   self.session.flush()
Sep 15 01:38:41.101621 devstack-92-210 neutron-rpc-server[2225678]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:38:41.101621 devstack-92-210 neutron-rpc-server[2225678]:   self.session.flush()
Sep 15 01:40:09.011782 devstack-92-210 neutron-rpc-server[2225191]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:40:09.011782 devstack-92-210 neutron-rpc-server[2225191]:   self.session.flush()
Sep 15 01:40:09.013563 devstack-92-210 neutron-rpc-server[2225191]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:40:09.013563 devstack-92-210 neutron-rpc-server[2225191]:   self.session.flush()
Sep 15 01:40:09.014710 devstack-92-210 neutron-rpc-server[2225191]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:40:09.014710 devstack-92-210 neutron-rpc-server[2225191]:   self.session.flush()
Sep 15 01:40:09.016059 devstack-92-210 neutron-rpc-server[2225191]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:40:09.016059 devstack-92-210 neutron-rpc-server[2225191]:   self.session.flush()
Sep 15 01:40:54.865367 devstack-92-210 neutron-rpc-server[2225291]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:40:54.865367 devstack-92-210 neutron-rpc-server[2225291]:   self.session.flush()
Sep 15 01:40:54.866458 devstack-92-210 neutron-rpc-server[2225291]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:40:54.866458 devstack-92-210 neutron-rpc-server[2225291]:   self.session.flush()
Sep 15 01:40:54.866731 devstack-92-210 neutron-rpc-server[2225291]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:40:54.866731 devstack-92-210 neutron-rpc-server[2225291]:   self.session.flush()
Sep 15 01:40:54.867627 devstack-92-210 neutron-rpc-server[2225291]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:40:54.867627 devstack-92-210 neutron-rpc-server[2225291]:   self.session.flush()
Sep 15 01:42:33.509874 devstack-92-210 neutron-rpc-server[2225159]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:42:33.509874 devstack-92-210 neutron-rpc-server[2225159]:   self.session.flush()
Sep 15 01:42:33.511558 devstack-92-210 neutron-rpc-server[2225159]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:42:33.511558 devstack-92-210 neutron-rpc-server[2225159]:   self.session.flush()
Sep 15 01:42:33.513435 devstack-92-210 neutron-rpc-server[2225159]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:42:33.513435 devstack-92-210 neutron-rpc-server[2225159]:   self.session.flush()
Sep 15 01:42:33.514656 devstack-92-210 neutron-rpc-server[2225159]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:42:33.514656 devstack-92-210 neutron-rpc-server[2225159]:   self.session.flush()
Sep 15 01:45:56.717092 devstack-92-210 neutron-rpc-server[2225502]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:45:56.717092 devstack-92-210 neutron-rpc-server[2225502]:   self.session.flush()
Sep 15 01:45:56.718579 devstack-92-210 neutron-rpc-server[2225502]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:45:56.718579 devstack-92-210 neutron-rpc-server[2225502]:   self.session.flush()
Sep 15 01:45:56.719551 devstack-92-210 neutron-rpc-server[2225502]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:45:56.719551 devstack-92-210 neutron-rpc-server[2225502]:   self.session.flush()
Sep 15 01:45:56.720676 devstack-92-210 neutron-rpc-server[2225502]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:45:56.720676 devstack-92-210 neutron-rpc-server[2225502]:   self.session.flush()
Sep 15 01:49:04.075883 devstack-92-210 neutron-rpc-server[2225574]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:49:04.075883 devstack-92-210 neutron-rpc-server[2225574]:   self.session.flush()
Sep 15 01:49:04.077217 devstack-92-210 neutron-rpc-server[2225574]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:49:04.077217 devstack-92-210 neutron-rpc-server[2225574]:   self.session.flush()
Sep 15 01:49:04.077948 devstack-92-210 neutron-rpc-server[2225574]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:49:04.077948 devstack-92-210 neutron-rpc-server[2225574]:   self.session.flush()
Sep 15 01:49:04.078895 devstack-92-210 neutron-rpc-server[2225574]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:49:04.078895 devstack-92-210 neutron-rpc-server[2225574]:   self.session.flush()
Sep 15 01:52:42.822596 devstack-92-210 neutron-rpc-server[2225548]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:52:42.822596 devstack-92-210 neutron-rpc-server[2225548]:   self.session.flush()
Sep 15 01:52:42.823613 devstack-92-210 neutron-rpc-server[2225548]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:52:42.823613 devstack-92-210 neutron-rpc-server[2225548]:   self.session.flush()
Sep 15 01:52:42.824237 devstack-92-210 neutron-rpc-server[2225548]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:52:42.824237 devstack-92-210 neutron-rpc-server[2225548]:   self.session.flush()
Sep 15 01:52:42.824933 devstack-92-210 neutron-rpc-server[2225548]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:52:42.824933 devstack-92-210 neutron-rpc-server[2225548]:   self.session.flush()
Sep 15 01:53:55.733086 devstack-92-210 neutron-rpc-server[2224953]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:53:55.733086 devstack-92-210 neutron-rpc-server[2224953]:   self.session.flush()
Sep 15 01:53:55.734602 devstack-92-210 neutron-rpc-server[2224953]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:53:55.734602 devstack-92-210 neutron-rpc-server[2224953]:   self.session.flush()
Sep 15 01:53:55.734912 devstack-92-210 neutron-rpc-server[2224953]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:53:55.734912 devstack-92-210 neutron-rpc-server[2224953]:   self.session.flush()
Sep 15 01:53:55.736083 devstack-92-210 neutron-rpc-server[2224953]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:53:55.736083 devstack-92-210 neutron-rpc-server[2224953]:   self.session.flush()
Sep 15 01:55:02.000240 devstack-92-210 neutron-rpc-server[2225233]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:55:02.000240 devstack-92-210 neutron-rpc-server[2225233]:   self.session.flush()
Sep 15 01:55:02.000240 devstack-92-210 neutron-rpc-server[2225233]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:55:02.000240 devstack-92-210 neutron-rpc-server[2225233]:   self.session.flush()
Sep 15 01:55:02.001041 devstack-92-210 neutron-rpc-server[2225233]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_binding_levels' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:55:02.001041 devstack-92-210 neutron-rpc-server[2225233]:   self.session.flush()
Sep 15 01:55:02.001723 devstack-92-210 neutron-rpc-server[2225233]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ports' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:55:02.001723 devstack-92-210 neutron-rpc-server[2225233]:   self.session.flush()
Sep 15 01:59:10.948048 devstack-92-210 neutron-rpc-server[2225475]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'portsecuritybindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:59:10.948048 devstack-92-210 neutron-rpc-server[2225475]:   self.session.flush()
Sep 15 01:59:10.949505 devstack-92-210 neutron-rpc-server[2225475]: /opt/stack/data/venv/lib/python3.12/site-packages/oslo_db/sqlalchemy/enginefacade.py:852: SAWarning: DELETE statement on table 'ml2_port_bindings' expected to delete 1 row(s); 0 were matched.  Please set confirm_deleted_rows=False within the mapper configuration to prevent this warning.
Sep 15 01:59:10.949505 devstack-92-210 neutron-rpc-server[2225475]:   self.session.flush()
